vendor,count
Juniper,1778
VMWare,975
Silver Peak Systems,727
Viprinet,696
Riverbed,595
Versa,503
Cradlepoint,479
Cisco,472
Barracuda Networks,452
Sonus,444
Arista,350
Fatpipe,307
Nuage,199
128 Technology,132
Fortinet,89
Citrix,49
Talari,47
Aryaka,39
CloudGenix,34
Glue Networks,24
InfoVista,22
Ecessa,6
Huawei,4
Teloip,2
