product,vendor,query,port,proto,ip,lat,lng,country,vulnerabilities,nmap_scan
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,96.89.116.46,45.5171,-122.6802,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': '96-89-116-46-static.hfc.comcastbusiness.net', 'type': 'PTR'}], 'addresses': {'ipv4': '96.89.116.46'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,71.203.252.128,35.927899999999994,-84.0852,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'c-71-203-252-128.hsd1.tn.comcast.net', 'type': 'PTR'}], 'addresses': {'ipv4': '71.203.252.128'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}, 'tcp': {22: {'state': 'closed', 'reason': 'conn-refused', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 80: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'lighttpd', 'version': '', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:lighttpd:lighttpd', 'script': {'http-auth': '\nHTTP/1.1 401 Unauthorized\\x0D\n  Digest qop=auth nonce=21ae3448050f58733a92a7e4119729d6 realm=Secure Access\n', 'http-server-header': 'HID-Web', 'http-title': '401 - Unauthorized'}}, 443: {'state': 'closed', 'reason': 'conn-refused', 'name': 'https', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,174.66.84.166,33.68969999999999,-117.8502,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'wsip-174-66-84-166.oc.oc.cox.net', 'type': 'PTR'}], 'addresses': {'ipv4': '174.66.84.166'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,70.184.66.188,33.6054,-117.66749999999999,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'wsip-70-184-66-188.oc.oc.cox.net', 'type': 'PTR'}], 'addresses': {'ipv4': '70.184.66.188'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,24.159.239.91,43.02080000000001,-89.36,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': '24-159-239-91.static.mdsn.wi.charter.com', 'type': 'PTR'}], 'addresses': {'ipv4': '24.159.239.91'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,173.10.104.236,47.6738,-122.34190000000001,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': '173-10-104-236-BusName-Washington.hfc.comcastbusiness.net', 'type': 'PTR'}], 'addresses': {'ipv4': '173.10.104.236'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,107.184.5.157,33.6746,-118.0086,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'cpe-107-184-5-157.socal.res.rr.com', 'type': 'PTR'}], 'addresses': {'ipv4': '107.184.5.157'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}, 'tcp': {22: {'state': 'closed', 'reason': 'conn-refused', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 80: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'lighttpd', 'version': '', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:lighttpd:lighttpd', 'script': {'http-server-header': 'HID-Web', 'http-title': 'Did not follow redirect to https://cpe-107-184-5-157.socal.res.rr.com/'}}, 443: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'lighttpd', 'version': '', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:lighttpd:lighttpd', 'script': {'http-title': '401 - Unauthorized', 'ssl-cert': 'Subject: commonName=VertX_EVO_V1000/organizationName=NAS/stateOrProvinceName=Wales/countryName=GB\nNot valid before: 2000-01-01T00:03:21\nNot valid after:  2019-12-31T00:03:21', 'ssl-date': 'TLS randomness does not represent time'}}}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,70.182.9.57,30.160500000000013,-92.0332,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'wsip-70-182-9-57.lf.br.cox.net', 'type': 'PTR'}], 'addresses': {'ipv4': '70.182.9.57'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}, 'tcp': {22: {'state': 'closed', 'reason': 'conn-refused', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 80: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'Boa HTTPd', 'version': '0.94.13', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:boa:boa:0.94.13', 'script': {'http-auth': '\nHTTP/1.0 401 Unauthorized\\x0D\n  Basic realm=/\n', 'http-server-header': 'Boa/0.94.13', 'http-title': '401 Unauthorized'}}, 443: {'state': 'closed', 'reason': 'conn-refused', 'name': 'https', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,184.176.134.24,33.836600000000004,-112.1189,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'wsip-184-176-134-24.ph.ph.cox.net', 'type': 'PTR'}], 'addresses': {'ipv4': '184.176.134.24'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}, 'tcp': {22: {'state': 'closed', 'reason': 'conn-refused', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 80: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'lighttpd', 'version': '', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:lighttpd:lighttpd', 'script': {'http-server-header': 'HID-Web', 'http-title': 'Did not follow redirect to https://wsip-184-176-134-24.ph.ph.cox.net/'}}, 443: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'lighttpd', 'version': '', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:lighttpd:lighttpd', 'script': {'http-auth': '\nHTTP/1.1 401 Unauthorized\\x0D\n  Digest qop=auth realm=Secure Access nonce=e4cd12d2a9ef126134b9492c9c23f8ae\n', 'ssl-cert': 'Subject: commonName=VertX_EVO_V1000/organizationName=NAS/stateOrProvinceName=Wales/countryName=GB\nNot valid before: 2000-01-01T00:02:24\nNot valid after:  2019-12-31T00:02:24', 'ssl-date': 'TLS randomness does not represent time'}}}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,71.221.133.173,32.04050000000001,-95.5256,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': '71-221-133-173.bois.qwest.net', 'type': 'PTR'}], 'addresses': {'ipv4': '71.221.133.173'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}, 'tcp': {22: {'state': 'filtered', 'reason': 'no-response', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 80: {'state': 'filtered', 'reason': 'no-response', 'name': 'http', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 443: {'state': 'filtered', 'reason': 'no-response', 'name': 'https', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,99.29.105.217,34.028099999999995,-117.9328,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': '99-29-105-217.lightspeed.irvnca.sbcglobal.net', 'type': 'PTR'}], 'addresses': {'ipv4': '99.29.105.217'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,205.170.66.2,37.751000000000005,-97.822,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {'CVE-2012-2531': 'https://vulners.com/cve/CVE-2012-2531', 'CVE-2010-2730': 'https://vulners.com/cve/CVE-2010-2730', 'CVE-2010-1899': 'https://vulners.com/cve/CVE-2010-1899', 'CVE-2010-1256': 'https://vulners.com/cve/CVE-2010-1256', 'CVE-2010-3972': 'https://vulners.com/cve/CVE-2010-3972'}}","{'hostnames': [{'name': 'mail.bettylawfirm.com', 'type': 'PTR'}], 'addresses': {'ipv4': '205.170.66.2'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,173.247.15.151,35.04560000000001,-85.3097,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'host-173-247-15-151.IGOOLT2.epbfi.com', 'type': 'PTR'}], 'addresses': {'ipv4': '173.247.15.151'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,181.46.187.4,-34.64070000000001,-58.5638,Argentina,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'cpe-181-46-187-4.telecentro-reversos.com.ar', 'type': 'PTR'}], 'addresses': {'ipv4': '181.46.187.4'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,69.155.174.26,37.751000000000005,-97.822,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'adsl-69-155-174-26.dsl.okcyok.swbell.net', 'type': 'PTR'}], 'addresses': {'ipv4': '69.155.174.26'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,106.51.130.152,12.983300000000014,77.58330000000001,India,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'broadband.actcorp.in', 'type': 'PTR'}], 'addresses': {'ipv4': '106.51.130.152'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,120.151.225.8,-37.7167,145.0,Australia,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'quadun.lnk.telstra.net', 'type': 'PTR'}], 'addresses': {'ipv4': '120.151.225.8'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}, 'tcp': {22: {'state': 'filtered', 'reason': 'no-response', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 80: {'state': 'filtered', 'reason': 'no-response', 'name': 'http', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 443: {'state': 'filtered', 'reason': 'no-response', 'name': 'https', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,137.229.135.69,61.205900000000014,-149.82319999999999,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': '', 'type': ''}], 'addresses': {'ipv4': '137.229.135.69'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,148.78.173.58,37.751000000000005,-97.822,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': '', 'type': ''}], 'addresses': {'ipv4': '148.78.173.58'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}, 'tcp': {22: {'state': 'filtered', 'reason': 'no-response', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 80: {'state': 'filtered', 'reason': 'no-response', 'name': 'http', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 443: {'state': 'filtered', 'reason': 'no-response', 'name': 'https', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,137.229.135.66,61.205900000000014,-149.82319999999999,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': '', 'type': ''}], 'addresses': {'ipv4': '137.229.135.66'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,69.26.136.198,34.058400000000006,-118.27799999999999,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': '69-26-136-198.mxu.aerioconnect.net', 'type': 'PTR'}], 'addresses': {'ipv4': '69.26.136.198'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}, 'tcp': {22: {'state': 'closed', 'reason': 'conn-refused', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 80: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'lighttpd', 'version': '', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:lighttpd:lighttpd', 'script': {'http-server-header': 'HID-Web', 'http-title': 'Did not follow redirect to https://69-26-136-198.mxu.aerioconnect.net/'}}, 443: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'lighttpd', 'version': '', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:lighttpd:lighttpd', 'script': {'http-title': '401 - Unauthorized', 'ssl-cert': 'Subject: commonName=VertX_EVO_V1000/organizationName=NAS/stateOrProvinceName=Wales/countryName=GB\nNot valid before: 2000-01-01T00:02:39\nNot valid after:  2019-12-31T00:02:39', 'ssl-date': 'TLS randomness does not represent time'}}}}"
